SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
1,run_results\2020-04-16T02.49.05.628.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.04508781433105469,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,13.2883191
2,run_results\2020-04-16T02.49.14.302.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.37822723388671875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,7.745463999
3,run_results\2020-04-16T02.49.23.981.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.3694725036621094,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,9.665434599
4,run_results\2020-04-16T02.49.30.684.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.1666545867919922,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,6.6901862
5,run_results\2020-04-16T02.49.45.729.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",5.991691589355469,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,15.0282511
6,run_results\2020-04-16T02.49.54.240.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.34023284912109375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.4969584
7,run_results\2020-04-16T02.50.11.578.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",8.606107711791992,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,17.322754199
8,run_results\2020-04-16T02.52.20.894.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",120.02426719665527,UserLimit,false,NaN,0.08473823780416127,lp,129.3018628
9,run_results\2020-04-16T02.52.31.283.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",3.4724502563476562,UserObjLimit,false,0.1,0.022064019572846975,lp,10.266038201
10,run_results\2020-04-16T02.52.50.821.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",12.318140029907227,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,19.4380203
11,run_results\2020-04-17T01.16.42.442.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.099151611328125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,12.5316119
12,run_results\2020-04-17T01.18.53.805.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",120.02372741699219,UserLimit,false,NaN,0.061809199758916,lp,130.480106699
13,run_results\2020-04-17T01.19.09.319.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",6.5709686279296875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,15.499130899
14,run_results\2020-04-17T01.19.16.970.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.3521099090576172,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,7.6377081
15,run_results\2020-04-17T01.19.24.033.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.028718948364257812,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,7.0461315
16,run_results\2020-04-17T01.19.47.323.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",14.024869918823242,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,23.2753507
17,run_results\2020-04-17T01.20.09.444.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",13.57455062866211,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,22.1061667
18,run_results\2020-04-17T01.20.16.495.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.031248092651367188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,7.033847399
19,run_results\2020-04-17T01.20.58.669.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",34.52612495422363,UserObjLimit,false,0.0980269858183788,0.0,lp,42.048854399
20,run_results\2020-04-17T01.21.07.728.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.39580726623535156,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.9492585
